标准名,原文中的各种叫法,出场总次数,分布（回(次数)）
贾雨村,贾雨村、雨村,105,001(26) 002(40) 003(13) 004(26)
贾宝玉,贾宝玉、宝玉,92,001(1) 002(1) 003(29) 005(61)
林黛玉,林黛玉、黛玉,86,002(2) 003(72) 004(3) 005(9)
贾母,贾母,40,003(32) 004(2) 005(6)
王夫人,王夫人,30,003(19) 004(11)
薛蟠,薛蟠,20,003(1) 004(19)
门子,门子,20,004(20)
拐子,拐子,15,004(15)
秦可卿,秦可卿、秦氏、可卿,14,005(14)
英莲,英莲,14,001(5) 004(9)
封肃,封肃,12,001(5) 002(7)
贾政,贾政,12,002(2) 003(5) 004(5)
袭人,袭人,10,003(7) 005(3)
邢夫人,邢夫人,8,003(7) 005(1)
薛宝钗,薛宝钗、宝钗,7,004(2) 005(5)
封氏,封氏、甄家娘子,7,001(3) 002(4)
冯渊,冯渊,7,004(7)
娇杏,娇杏、甄家丫鬟,6,001(2) 002(4)
贾赦,贾赦,6,002(2) 003(3) 004(1)
迎春,迎春,6,002(1) 003(3) 004(1) 005(1)
探春,探春,6,002(1) 003(4) 005(1)
甄士隐,甄士隐、甄老爷,5,001(4) 004(1)
林如海,林如海,5,002(3) 003(2)
薛姨妈,薛姨妈、薛家姨母,4,003(1) 004(3)
霍启,霍启,4,001(4)
贾珍,贾珍,4,002(1) 004(2) 005(1)
鹦哥,鹦哥,4,003(4)
王子腾,王子腾,4,003(1) 004(3)
王熙凤,王熙凤、凤姐,3,003(3)
贾敏,贾敏、贾氏,3,002(3)
贾珠,贾珠,3,002(1) 003(1) 004(1)
贾琏,贾琏,3,002(1) 003(1) 004(1)
贾蓉,贾蓉,3,002(1) 005(2)
冷子兴,冷子兴,3,002(2) 003(1)
李纨,李纨,3,003(1) 004(2)
王嬷嬷,王嬷嬷,3,003(3)
元春,元春,2,002(2)
惜春,惜春,2,002(1) 003(1)
张如圭,张如圭,2,003(2)
李嬷嬷,李嬷嬷,2,003(2)
雪雁,雪雁,2,003(2)
李守中,李守中,2,004(2)
严老爷,严老爷,1,001(1)
贾代善,贾代善,1,002(1)
贾代化,贾代化,1,002(1)
贾敷,贾敷,1,002(1)
贾敬,贾敬,1,002(1)
贾兰,贾兰,1,004(1)
尤氏,尤氏,1,005(1)
晴雯,晴雯,1,005(1)
麝月,麝月,1,005(1)
秋纹,秋纹,1,005(1)
