人物A,人物B,关系类型,出现在第几回,原文依据
严老爷,甄士隐,拜访,001,忽家人飞报：“严老爷来拜。”
元春,贾政,父女,002,政老爷的长女名元春
冯渊,英莲,买主欲纳妾,004,他便一眼看上了，立意买来作妾
冯渊,薛蟠,凶手与死者,004,因恃强喝令豪奴将冯渊打死
冷子兴,贾雨村,朋友,002,雨村最赞这冷子兴是个有作为大本领的人，这子兴又借雨村斯文之名，故二人最相投契。
娇杏,甄士隐,主仆,001,那甄家的大丫鬟在门前买线
娇杏,贾雨村,自谓知己,001,雨村见他回头，便以为这女子心中有意于他，遂狂喜不禁，自谓此女子必是个巨眼英豪、风尘中之知己。
娇杏,贾雨村,夫妻,002,不承望自到雨村身边，只一年便生一子，又半载雨村嫡配忽染疾下世，雨村便将他扶作正室夫人。
封氏,甄士隐,夫妻,001,庙旁住着一家乡宦，姓甄名费字士隐，嫡妻封氏，性情贤淑，深明礼义。
封氏,英莲,母女,001,夫妻二人半世只生此女，一旦失去，何等烦恼
封氏,封肃,父女,"001,002",封氏闻知此信，哭个死去活来。只得与父亲商议
封肃,甄士隐,岳婿,001,携了妻子与两个丫鬟投他岳丈家去。他岳丈名唤封肃
尤氏,贾珍,夫妻,005,贾珍之妻尤氏乃治酒具
张如圭,贾雨村,同僚,003,乃是当日同僚一案参革的张如圭。
惜春,贾珍,兄妹,002,四小姐乃宁府珍爷的胞妹，名惜春。
惜春,探春,姊妹,003,迎春姊妹三个告了坐方上来，迎春坐右手第一，探春左第二，惜春右第二。
惜春,迎春,姊妹,003,迎春姊妹三个告了坐方上来，迎春坐右手第一，探春左第二，惜春右第二。
惜春,贾母,孙女儿,005,一来贾母万般怜爱，寝食起居一如宝玉，把那迎春、探春、惜春三个孙女儿倒且靠后了
拐子,门子,房东租客,004,偏这拐子又租了我的房子居住。
拐子,英莲,拐卖,004,不想系拐子拐来卖的。
探春,贾政,父女,002,三小姐政老爷庶出，名探春。
探春,迎春,姊妹,003,迎春姊妹三个告了坐方上来，迎春坐右手第一，探春左第二，惜春右第二。
探春,薛蟠,表兄妹,003,探春等却晓得是议论金陵城中居住的薛家姨母之子——表兄薛蟠
探春,贾母,孙女儿,005,一来贾母万般怜爱，寝食起居一如宝玉，把那迎春、探春、惜春三个孙女儿倒且靠后了
晴雯,贾宝玉,丫鬟为伴,005,于是众奶姆伏侍宝玉卧好了，款款散去，只留下袭人、晴雯、麝月、秋纹四个丫鬟为伴。
李嬷嬷,贾宝玉,乳母,003,宝玉乳母李嬷嬷并大丫头名唤袭人的陪侍在外面大床上。
李守中,李纨,父女,004,这李氏亦系金陵名宦之女，父名李守中
李纨,林黛玉,嫂子,003,这是你先前珠大哥的媳妇珠大嫂子。
李纨,贾珠,夫妻,"003,004",这是你先前珠大哥的媳妇珠大嫂子。
林如海,贾敏,夫妻,002,今如海年已五十，只有一个三岁之子，又于去岁亡了，虽有几房姬妾，奈命中无子，亦无可如何之事。只嫡妻贾氏生得一女，乳名黛玉
林如海,林黛玉,父女,"002,003",今如海年已五十，只有一个三岁之子，又于去岁亡了，虽有几房姬妾，奈命中无子，亦无可如何之事。只嫡妻贾氏生得一女，乳名黛玉
林如海,贾赦,内兄,003,大内兄现袭一等将军之职，名赦，字恩侯；
林如海,贾政,内兄,003,二内兄名政，字存周，现任工部员外郎
林如海,贾政,妹丈,003,彼时贾政已看了妹丈之书，即忙请入相会。
林黛玉,贾敏,母女,002,只嫡妻贾氏生得一女，乳名黛玉
林黛玉,贾雨村,师生,002,我这女学生名叫黛玉
林黛玉,贾母,外祖孙,003,黛玉知是外祖母了，正欲下拜，早被外祖母抱住，搂入怀中
林黛玉,邢夫人,舅母外甥女,003,这是你大舅母。
林黛玉,王夫人,舅母外甥女,003,这是二舅母。
林黛玉,贾赦,舅甥,003,维时贾赦之妻邢氏忙起身笑回道：“我带了外甥女儿过去，到底便宜些。”
林黛玉,贾政,舅甥,003,只是还要过去拜见二舅舅，恐去迟了不恭
林黛玉,王熙凤,嫂子,003,众姊妹都忙告诉黛玉道：“这是琏二嫂子。”黛玉忙陪笑见礼，以“嫂”呼之。
林黛玉,贾宝玉,表兄妹,003,宝玉早已看见了一个袅袅婷婷的女儿，便料定是林姑妈之女，忙来见礼。
林黛玉,王嬷嬷,奶娘,003,黛玉只带了两个人来，一个是自己的奶娘王嬷嬷，一个是十岁的小丫头，名唤雪雁。
林黛玉,雪雁,主仆,003,黛玉只带了两个人来，一个是自己的奶娘王嬷嬷，一个是十岁的小丫头，名唤雪雁。
林黛玉,鹦哥,主仆,003,当下王嬷嬷与鹦哥陪侍黛玉在碧纱厨内
林黛玉,薛宝钗,相伴,004,宝钗日与黛玉、迎春姊妹等一处，或看书下棋，或做针黹，倒也十分相安。
林黛玉,贾母,怜爱,005,如今且说林黛玉自在荣府，一来贾母万般怜爱，寝食起居一如宝玉
林黛玉,贾宝玉,亲密友爱,005,就是宝玉黛玉二人的亲密友爱，也较别人不同，日则同行同坐，夜则同止同息，真是言和意顺，似漆如胶。
林黛玉,薛宝钗,不忿,005,因此黛玉心中便有些不忿，宝钗却是浑然不觉。
王夫人,贾政,夫妻,"002,004",这政老爷的夫人王氏
王夫人,贾珠,母子,002,这政老爷的夫人王氏，头胎生的公子名叫贾珠
王夫人,王熙凤,姑侄,003,娶的就是二舅母王氏的内侄女；自幼假充男儿教养，学名叫做王熙凤。
王夫人,薛姨妈,姊妹,004,与荣国府贾政的夫人王氏是一母所生的姊妹
王夫人,薛蟠,姨母与外甥,004,你贾家的姨娘未必不苦留我们
王子腾,薛蟠,舅甥,"003,004",探春等却晓得是议论金陵城中居住的薛家姨母之子——表兄薛蟠，倚财仗势，打死人命，现在应天府案下审理。如今舅舅王子腾得了信，遣人来告诉这边，意欲唤取进京之意。
王子腾,薛姨妈,兄妹,004,寡母王氏乃现任京营节度王子腾之妹
王熙凤,贾琏,夫妻,003,大舅贾赦之子贾琏，娶的就是二舅母王氏的内侄女；自幼假充男儿教养，学名叫做王熙凤。
甄士隐,英莲,父女,"001,004",年过半百，膝下无儿，只有一女乳名英莲，年方三岁。
甄士隐,贾雨村,交往,001,故士隐常与他交接。
甄士隐,贾雨村,资助,001,其盘费馀事弟自代为处置，亦不枉兄之谬识矣。
甄士隐,霍启,主仆,001,士隐令家人霍启抱了英莲，去看社火花灯。
秋纹,贾宝玉,丫鬟为伴,005,于是众奶姆伏侍宝玉卧好了，款款散去，只留下袭人、晴雯、麝月、秋纹四个丫鬟为伴。
秦可卿,贾蓉,夫妻,005,贾蓉媳妇秦氏便忙笑道
秦可卿,贾母,重孙媳,005,贾母素知秦氏是极妥当的人，因他生得袅娜纤巧，行事又温柔和平，乃重孙媳中第一个得意之人。
