人物A,人物B,类别,原标签,出现在第几回,上图,原文依据
严老爷,甄士隐,事件,拜访,001,否,忽家人飞报：“严老爷来拜。”
元春,贾政,亲属,父女,002,是,政老爷的长女名元春
冯渊,英莲,冲突,买主欲纳妾,004,是,他便一眼看上了，立意买来作妾
冯渊,薛蟠,冲突,凶手与死者,004,是,因恃强喝令豪奴将冯渊打死
冷子兴,贾雨村,社会,朋友,002,是,雨村最赞这冷子兴是个有作为大本领的人，这子兴又借雨村斯文之名，故二人最相投契。
娇杏,甄士隐,主仆,主仆,001,是,那甄家的大丫鬟在门前买线
娇杏,贾雨村,社会,自谓知己,001,是,雨村见他回头，便以为这女子心中有意于他，遂狂喜不禁，自谓此女子必是个巨眼英豪、风尘中之知己。
娇杏,贾雨村,亲属,夫妻,002,是,不承望自到雨村身边，只一年便生一子，又半载雨村嫡配忽染疾下世，雨村便将他扶作正室夫人。
封氏,甄士隐,亲属,夫妻,001,是,庙旁住着一家乡宦，姓甄名费字士隐，嫡妻封氏，性情贤淑，深明礼义。
封氏,英莲,亲属,母女,001,是,夫妻二人半世只生此女，一旦失去，何等烦恼
封氏,封肃,亲属,父女,"001,002",是,封氏闻知此信，哭个死去活来。只得与父亲商议
封肃,甄士隐,亲属,岳婿,001,是,携了妻子与两个丫鬟投他岳丈家去。他岳丈名唤封肃
尤氏,贾珍,亲属,夫妻,005,是,贾珍之妻尤氏乃治酒具
张如圭,贾雨村,社会,同僚,003,是,乃是当日同僚一案参革的张如圭。
惜春,贾珍,亲属,兄妹,002,是,四小姐乃宁府珍爷的胞妹，名惜春。
惜春,探春,亲属,姊妹,003,是,迎春姊妹三个告了坐方上来，迎春坐右手第一，探春左第二，惜春右第二。
惜春,迎春,亲属,姊妹,003,是,迎春姊妹三个告了坐方上来，迎春坐右手第一，探春左第二，惜春右第二。
惜春,贾母,亲属,孙女儿,005,是,一来贾母万般怜爱，寝食起居一如宝玉，把那迎春、探春、惜春三个孙女儿倒且靠后了
拐子,门子,社会,房东租客,004,是,偏这拐子又租了我的房子居住。
拐子,英莲,冲突,拐卖,004,是,不想系拐子拐来卖的。
探春,贾政,亲属,父女,002,是,三小姐政老爷庶出，名探春。
探春,迎春,亲属,姊妹,003,是,迎春姊妹三个告了坐方上来，迎春坐右手第一，探春左第二，惜春右第二。
探春,薛蟠,亲属,表兄妹,003,是,探春等却晓得是议论金陵城中居住的薛家姨母之子——表兄薛蟠
探春,贾母,亲属,孙女儿,005,是,一来贾母万般怜爱，寝食起居一如宝玉，把那迎春、探春、惜春三个孙女儿倒且靠后了
